id,title,country,points,price,province,variety,winery,Lat,Lng
15707,Alpha Omega 2012 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),US,99,250.00,California,Cabernet Sauvignon,Alpha Omega,38.4705541,-122.4289289
2248,Quilceda Creek 2006 Cabernet Sauvignon (Columbia Valley (WA)),US,98,125.00,Washington,Cabernet Sauvignon,Quilceda Creek,47.9486161,-122.0787733
7219,Von Strasser 2009 Estate Vineyard Cabernet Sauvignon (Diamond Mountain District),US,98,70.00,California,Cabernet Sauvignon,Von Strasser,38.58773,-122.5749189
3498,Stonestreet 2007 Black Cougar Ridge Cabernet Sauvignon (Alexander Valley),US,97,75.00,California,Cabernet Sauvignon,Stonestreet,38.6624821,-122.8173529
6166,Yao Ming 2009 Family Reserve Cabernet Sauvignon (Napa Valley),US,97,625.00,California,Cabernet Sauvignon,Yao Ming,45.5980213,-127.2696389
14544,Alpha Omega 2012 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),US,97,250.00,California,Cabernet Sauvignon,Alpha Omega,38.4705541,-122.4289289
6852,Gandona 2009 Cabernet Sauvignon (Napa Valley),US,97,190.00,California,Cabernet Sauvignon,Gandona,38.4829249,-122.3556052
2260,Hestan 2006 Cabernet Sauvignon (Napa Valley),US,97,100.00,California,Cabernet Sauvignon,Hestan,38.4030836,-122.3626693
4744,Marchesi Antinori 2008 Guado al Tasso (Bolgheri Superiore),Italy,98,102.00,Tuscany,Red Blend,Marchesi Antinori,43.6153804,11.1919579
880,Tenuta San Guido 2004 Sassicaia (Bolgheri Sassicaia),Italy,97,190.00,Tuscany,Red Blend,Tenuta San Guido,37.9847984,-122.3131666
9297,Tenuta San Guido 2010 Sassicaia (Bolgheri Sassicaia),Italy,97,227.00,Tuscany,Red Blend,Tenuta San Guido,37.9847984,-122.3131666
22528,ONX 2015 Reckoning Red (Templeton Gap District),US,96,58.00,California,Red Blend,ONX,35.5762116,-120.6886041
1909,La Rioja Alta 2005 Gran Reserva 904 (Rioja),Spain,96,50.00,Northern Spain,Red Blend,La Rioja Alta,37.934976,-122.058121
1287,Betz Family 2005 Le Parrain Red Wine Red (Columbia Valley (WA)),US,96,85.00,Washington,Red Blend,Betz Family,38.3332752,-121.9490236
1026,La Rioja Alta 2004 Gran Reserva 890 (Rioja),Spain,96,125.00,Northern Spain,Red Blend,La Rioja Alta,37.934976,-122.058121
3924,Andrew Will 2007 Sorella Red Wine Red (Red Mountain),US,96,64.00,Washington,Red Blend,Andrew Will,47.4501554,-122.4968768
